Day,Date,Page_Loads,Unique_Visits,First_Time_Visits,Returning_Visits
Sunday,9/14/2014,2146,1582,1430,152
Monday,9/15/2014,3621,2528,2297,231
Tuesday,9/16/2014,3698,2630,2352,278
Wednesday,9/17/2014,3667,2614,2327,287
Thursday,9/18/2014,3316,2366,2130,236
Friday,9/19/2014,2815,1863,1622,241
Saturday,9/20/2014,1658,1118,985,133
Sunday,9/21/2014,2288,1656,1481,175
Monday,9/22/2014,3638,2586,2312,274
Tuesday,9/23/2014,4462,3257,2989,268
Wednesday,9/24/2014,4414,3175,2891,284
Thursday,9/25/2014,4315,3029,2743,286
Friday,9/26/2014,3323,2249,2033,216
Saturday,9/27/2014,1656,1180,1040,140
Sunday,9/28/2014,2465,1806,1613,193
Monday,9/29/2014,4096,2873,2577,296
Tuesday,9/30/2014,4474,3032,2720,312
Wednesday,10/1/2014,4124,2849,2541,308
Thursday,10/2/2014,3514,2489,2239,250
Friday,10/3/2014,3005,2097,1856,241
Saturday,10/4/2014,2054,1436,1274,162
Sunday,10/5/2014,2847,1913,1713,200
Monday,10/6/2014,4501,3181,2853,328
Tuesday,10/7/2014,4603,3163,2804,359
Wednesday,10/8/2014,4187,3014,2663,351
Thursday,10/9/2014,4343,2864,2545,319
Friday,10/10/2014,3565,2382,2100,282
Saturday,10/11/2014,2080,1457,1280,177
Sunday,10/12/2014,3031,2089,1856,233
Monday,10/13/2014,4814,3339,2973,366
Tuesday,10/14/2014,5040,3604,3217,387
Wednesday,10/15/2014,5028,3515,3094,421
Thursday,10/16/2014,4658,3331,2955,376
Friday,10/17/2014,3624,2477,2148,329
Saturday,10/18/2014,2285,1619,1416,203
Sunday,10/19/2014,3454,2346,2060,286
Monday,10/20/2014,5307,3717,3308,409
Tuesday,10/21/2014,5135,3701,3280,421
Wednesday,10/22/2014,5084,3611,3177,434
Thursday,10/23/2014,4650,3316,2940,376
Friday,10/24/2014,3571,2498,2170,328
Saturday,10/25/2014,2354,1661,1417,244
Sunday,10/26/2014,3497,2508,2218,290
Monday,10/27/2014,5294,3737,3286,451
Tuesday,10/28/2014,4643,3328,2905,423
Wednesday,10/29/2014,4596,3279,2863,416
Thursday,10/30/2014,4162,3041,2657,384
Friday,10/31/2014,2933,2007,1728,279
Saturday,11/1/2014,2202,1496,1270,226
Sunday,11/2/2014,3083,2204,1940,264
Monday,11/3/2014,4376,3057,2629,428
Tuesday,11/4/2014,4704,3141,2739,402
Wednesday,11/5/2014,4306,3200,2797,403
Thursday,11/6/2014,4178,3034,2627,407
Friday,11/7/2014,3236,2318,1975,343
Saturday,11/8/2014,2010,1536,1345,191
Sunday,11/9/2014,2901,2141,1849,292
Monday,11/10/2014,4754,3325,2885,440
Tuesday,11/11/2014,4417,3203,2793,410
Wednesday,11/12/2014,4535,3351,2897,454
Thursday,11/13/2014,4274,3194,2758,436
Friday,11/14/2014,3382,2423,2061,362
Saturday,11/15/2014,2085,1488,1280,208
Sunday,11/16/2014,3083,2215,1926,289
Monday,11/17/2014,4860,3559,3069,490
Tuesday,11/18/2014,4893,3570,3133,437
Wednesday,11/19/2014,4866,3544,3056,488
Thursday,11/20/2014,4584,3357,2899,458
Friday,11/21/2014,3914,2750,2361,389
Saturday,11/22/2014,2431,1716,1463,253
Sunday,11/23/2014,3157,2369,2082,287
Monday,11/24/2014,5045,3615,3146,469
Tuesday,11/25/2014,4746,3236,2821,415
Wednesday,11/26/2014,4314,2919,2513,406
Thursday,11/27/2014,3663,2476,2162,314
Friday,11/28/2014,3270,2268,1931,337
Saturday,11/29/2014,2905,1976,1695,281
Sunday,11/30/2014,4016,2832,2489,343
Monday,12/1/2014,5266,3877,3317,560
Tuesday,12/2/2014,5795,4274,3700,574
Wednesday,12/3/2014,5728,4217,3656,561
Thursday,12/4/2014,5293,3830,3295,535
Friday,12/5/2014,3934,2856,2479,377
Saturday,12/6/2014,3071,2165,1855,310
Sunday,12/7/2014,3876,2984,2582,402
Monday,12/8/2014,5878,4375,3829,546
Tuesday,12/9/2014,5712,4187,3635,552
Wednesday,12/10/2014,5491,4074,3480,594
Thursday,12/11/2014,5144,3801,3247,554
Friday,12/12/2014,3880,2860,2418,442
Saturday,12/13/2014,2605,1838,1538,300
Sunday,12/14/2014,3625,2650,2259,391
Monday,12/15/2014,4685,3478,3000,478
Tuesday,12/16/2014,4891,3338,2861,477
Wednesday,12/17/2014,4222,3053,2606,447
Thursday,12/18/2014,3691,2690,2275,415
Friday,12/19/2014,2748,1879,1559,320
Saturday,12/20/2014,1380,1011,836,175
Sunday,12/21/2014,1474,1054,876,178
Monday,12/22/2014,2452,1715,1394,321
Tuesday,12/23/2014,2298,1440,1159,281
Wednesday,12/24/2014,1430,947,772,175
Thursday,12/25/2014,1002,667,522,145
Friday,12/26/2014,1486,1005,808,197
Saturday,12/27/2014,1345,941,781,160
Sunday,12/28/2014,1453,948,765,183
Monday,12/29/2014,2173,1472,1228,244
Tuesday,12/30/2014,2208,1424,1172,252
Wednesday,12/31/2014,1381,955,773,182
Thursday,1/1/2015,1265,876,715,161
Friday,1/2/2015,1948,1288,1030,258
Saturday,1/3/2015,1742,1096,946,150
Sunday,1/4/2015,1896,1409,1186,223
Monday,1/5/2015,3033,2062,1706,356
Tuesday,1/6/2015,3445,2327,1942,385
Wednesday,1/7/2015,3423,2384,1991,393
Thursday,1/8/2015,3319,2272,1922,350
Friday,1/9/2015,2783,1941,1663,278
Saturday,1/10/2015,1952,1240,1066,174
Sunday,1/11/2015,2245,1611,1391,220
Monday,1/12/2015,3928,2518,2125,393
Tuesday,1/13/2015,3810,2621,2239,382
Wednesday,1/14/2015,3931,2656,2229,427
Thursday,1/15/2015,3523,2457,2069,388
Friday,1/16/2015,2943,1928,1640,288
Saturday,1/17/2015,1751,1237,1052,185
Sunday,1/18/2015,2491,1762,1541,221
Monday,1/19/2015,3766,2665,2271,394
Tuesday,1/20/2015,4194,2852,2423,429
Wednesday,1/21/2015,4038,2916,2482,434
Thursday,1/22/2015,3891,2702,2334,368
Friday,1/23/2015,3111,2181,1897,284
Saturday,1/24/2015,1946,1414,1239,175
Sunday,1/25/2015,2802,2010,1740,270
Monday,1/26/2015,3892,2841,2466,375
Tuesday,1/27/2015,4172,3003,2592,411
Wednesday,1/28/2015,4464,3280,2862,418
Thursday,1/29/2015,4377,3143,2679,464
Friday,1/30/2015,3734,2514,2129,385
Saturday,1/31/2015,2262,1657,1443,214
Sunday,2/1/2015,3050,2122,1825,297
Monday,2/2/2015,4794,3366,2867,499
Tuesday,2/3/2015,4936,3423,2922,501
Wednesday,2/4/2015,5016,3500,3023,477
Thursday,2/5/2015,4489,3170,2753,417
Friday,2/6/2015,3505,2468,2075,393
Saturday,2/7/2015,2264,1679,1437,242
Sunday,2/8/2015,3314,2435,2100,335
Monday,2/9/2015,5095,3619,3125,494
Tuesday,2/10/2015,5525,3793,3272,521
Wednesday,2/11/2015,5074,3689,3190,499
Thursday,2/12/2015,4571,3319,2810,509
Friday,2/13/2015,3570,2664,2253,411
Saturday,2/14/2015,2182,1565,1323,242
Sunday,2/15/2015,3265,2277,1935,342
Monday,2/16/2015,4670,3297,2826,471
Tuesday,2/17/2015,4764,3452,2957,495
Wednesday,2/18/2015,4943,3526,3026,500
Thursday,2/19/2015,4790,3307,2811,496
Friday,2/20/2015,3604,2621,2241,380
Saturday,2/21/2015,2455,1823,1569,254
Sunday,2/22/2015,3650,2690,2329,361
Monday,2/23/2015,5463,3975,3433,542
Tuesday,2/24/2015,5884,4112,3542,570
Wednesday,2/25/2015,5615,4019,3432,587
Thursday,2/26/2015,5289,3747,3186,561
Friday,2/27/2015,4434,2969,2486,483
Saturday,2/28/2015,2665,1977,1694,283
Sunday,3/1/2015,3907,2906,2519,387
Monday,3/2/2015,5308,3778,3222,556
Tuesday,3/3/2015,5773,4025,3490,535
Wednesday,3/4/2015,5585,4060,3457,603
Thursday,3/5/2015,4783,3582,3049,533
Friday,3/6/2015,3893,2707,2259,448
Saturday,3/7/2015,2917,2048,1723,325
Sunday,3/8/2015,3353,2468,2104,364
Monday,3/9/2015,5400,3824,3246,578
Tuesday,3/10/2015,5395,3926,3350,576
Wednesday,3/11/2015,5229,3859,3263,596
Thursday,3/12/2015,5371,3784,3204,580
Friday,3/13/2015,4185,3045,2559,486
Saturday,3/14/2015,2724,1988,1675,313
Sunday,3/15/2015,3590,2620,2196,424
Monday,3/16/2015,5367,3771,3192,579
Tuesday,3/17/2015,5440,3968,3387,581
Wednesday,3/18/2015,5465,4043,3458,585
Thursday,3/19/2015,5318,3813,3262,551
Friday,3/20/2015,4225,2916,2462,454
Saturday,3/21/2015,2687,1975,1667,308
Sunday,3/22/2015,3791,2786,2388,398
Monday,3/23/2015,5661,3949,3331,618
Tuesday,3/24/2015,5759,4081,3487,594
Wednesday,3/25/2015,5599,3983,3378,605
Thursday,3/26/2015,5103,3755,3184,571
Friday,3/27/2015,4313,2946,2446,500
Saturday,3/28/2015,2971,2011,1651,360
Sunday,3/29/2015,3662,2693,2285,408
Monday,3/30/2015,5635,3985,3386,599
Tuesday,3/31/2015,5581,3963,3359,604
Wednesday,4/1/2015,5329,3761,3170,591
Thursday,4/2/2015,4553,3214,2710,504
Friday,4/3/2015,3423,2404,1988,416
Saturday,4/4/2015,2708,1807,1512,295
Sunday,4/5/2015,3306,2266,1895,371
Monday,4/6/2015,5203,3692,3133,559
Tuesday,4/7/2015,5712,4104,3456,648
Wednesday,4/8/2015,5601,4015,3401,614
Thursday,4/9/2015,5486,4063,3430,633
Friday,4/10/2015,4178,3213,2697,516
Saturday,4/11/2015,2878,2153,1835,318
Sunday,4/12/2015,4169,2903,2447,456
Monday,4/13/2015,6372,4485,3787,698
Tuesday,4/14/2015,6240,4391,3698,693
Wednesday,4/15/2015,6170,4409,3723,686
Thursday,4/16/2015,6071,4275,3586,689
Friday,4/17/2015,4682,3307,2741,566
Saturday,4/18/2015,3208,2291,1894,397
Sunday,4/19/2015,4310,3144,2669,475
Monday,4/20/2015,6435,4694,3929,765
Tuesday,4/21/2015,6299,4455,3769,686
Wednesday,4/22/2015,6360,4512,3797,715
Thursday,4/23/2015,6349,4360,3664,696
Friday,4/24/2015,4660,3387,2845,542
Saturday,4/25/2015,3354,2420,2035,385
Sunday,4/26/2015,4371,3189,2688,501
Monday,4/27/2015,6534,4731,3977,754
Tuesday,4/28/2015,6832,4941,4161,780
Wednesday,4/29/2015,6689,4870,4110,760
Thursday,4/30/2015,5849,4086,3450,636
Friday,5/1/2015,4247,3064,2562,502
Saturday,5/2/2015,3219,2360,1958,402
Sunday,5/3/2015,4211,3210,2765,445
Monday,5/4/2015,6424,4752,4043,709
Tuesday,5/5/2015,6223,4520,3818,702
Wednesday,5/6/2015,6551,4768,4059,709
Thursday,5/7/2015,6343,4449,3770,679
Friday,5/8/2015,4696,3366,2824,542
Saturday,5/9/2015,3134,2239,1846,393
Sunday,5/10/2015,3868,2844,2365,479
Monday,5/11/2015,6020,4482,3787,695
Tuesday,5/12/2015,5705,4160,3490,670
Wednesday,5/13/2015,5752,4016,3348,668
Thursday,5/14/2015,5181,3605,3008,597
Friday,5/15/2015,4269,2913,2404,509
Saturday,5/16/2015,2633,1818,1473,345
Sunday,5/17/2015,3336,2376,1988,388
Monday,5/18/2015,5127,3587,2955,632
Tuesday,5/19/2015,5449,3767,3149,618
Wednesday,5/20/2015,5746,3956,3371,585
Thursday,5/21/2015,5115,3642,3046,596
Friday,5/22/2015,3995,2749,2243,506
Saturday,5/23/2015,2618,1884,1585,299
Sunday,5/24/2015,2961,2117,1763,354
Monday,5/25/2015,4090,2913,2427,486
Tuesday,5/26/2015,5201,3637,3073,564
Wednesday,5/27/2015,5321,3797,3146,651
Thursday,5/28/2015,5219,3509,2887,622
Friday,5/29/2015,4017,2804,2338,466
Saturday,5/30/2015,2297,1629,1346,283
Sunday,5/31/2015,3145,2226,1860,366
Monday,6/1/2015,4905,3419,2797,622
Tuesday,6/2/2015,4747,3284,2701,583
Wednesday,6/3/2015,4591,3317,2713,604
Thursday,6/4/2015,4431,3173,2652,521
Friday,6/5/2015,3608,2523,2068,455
Saturday,6/6/2015,2422,1673,1336,337
Sunday,6/7/2015,3132,2145,1790,355
Monday,6/8/2015,4962,3377,2788,589
Tuesday,6/9/2015,4881,3469,2862,607
Wednesday,6/10/2015,5001,3425,2786,639
Thursday,6/11/2015,4635,3242,2614,628
Friday,6/12/2015,3545,2494,2066,428
Saturday,6/13/2015,2262,1490,1235,255
Sunday,6/14/2015,2866,2034,1692,342
Monday,6/15/2015,4692,3261,2682,579
Tuesday,6/16/2015,4602,3204,2660,544
Wednesday,6/17/2015,4620,3101,2556,545
Thursday,6/18/2015,4475,2955,2386,569
Friday,6/19/2015,3564,2422,1954,468
Saturday,6/20/2015,2071,1370,1129,241
Sunday,6/21/2015,2659,1840,1523,317
Monday,6/22/2015,4338,2963,2410,553
Tuesday,6/23/2015,4531,3139,2566,573
Wednesday,6/24/2015,4498,3022,2481,541
Thursday,6/25/2015,4128,2730,2210,520
Friday,6/26/2015,3132,2153,1721,432
Saturday,6/27/2015,1829,1264,1067,197
Sunday,6/28/2015,2149,1517,1224,293
Monday,6/29/2015,3975,2691,2169,522
Tuesday,6/30/2015,4046,2718,2180,538
Wednesday,7/1/2015,3897,2745,2266,479
Thursday,7/2/2015,3871,2540,2072,468
Friday,7/3/2015,2630,1716,1353,363
Saturday,7/4/2015,1602,1104,900,204
Sunday,7/5/2015,1960,1370,1141,229
Monday,7/6/2015,4143,2655,2171,484
Tuesday,7/7/2015,4205,2789,2266,523
Wednesday,7/8/2015,4193,2783,2255,528
Thursday,7/9/2015,3710,2536,2069,467
Friday,7/10/2015,3137,2203,1767,436
Saturday,7/11/2015,1834,1145,944,201
Sunday,7/12/2015,2070,1473,1197,276
Monday,7/13/2015,4180,2852,2310,542
Tuesday,7/14/2015,4038,2731,2226,505
Wednesday,7/15/2015,3906,2667,2119,548
Thursday,7/16/2015,3580,2424,1940,484
Friday,7/17/2015,2948,2070,1708,362
Saturday,7/18/2015,1622,1121,924,197
Sunday,7/19/2015,2179,1480,1214,266
Monday,7/20/2015,3906,2615,2146,469
Tuesday,7/21/2015,3745,2596,2071,525
Wednesday,7/22/2015,4212,2761,2205,556
Thursday,7/23/2015,3901,2595,2095,500
Friday,7/24/2015,3292,2207,1785,422
Saturday,7/25/2015,1819,1229,1016,213
Sunday,7/26/2015,2068,1562,1286,276
Monday,7/27/2015,3991,2805,2243,562
Tuesday,7/28/2015,4073,2862,2361,501
Wednesday,7/29/2015,4069,2825,2324,501
Thursday,7/30/2015,3716,2629,2126,503
Friday,7/31/2015,3380,2120,1709,411
Saturday,8/1/2015,1737,1197,958,239
Sunday,8/2/2015,2181,1567,1282,285
Monday,8/3/2015,3973,2794,2263,531
Tuesday,8/4/2015,3997,2794,2269,525
Wednesday,8/5/2015,4132,2798,2287,511
Thursday,8/6/2015,3791,2693,2204,489
Friday,8/7/2015,2968,2139,1738,401
Saturday,8/8/2015,1752,1266,1021,245
Sunday,8/9/2015,2070,1497,1231,266
Monday,8/10/2015,3920,2684,2139,545
Tuesday,8/11/2015,4106,2791,2266,525
Wednesday,8/12/2015,4006,2726,2166,560
Thursday,8/13/2015,3827,2639,2133,506
Friday,8/14/2015,2944,1973,1564,409
Saturday,8/15/2015,1827,1193,954,239
Sunday,8/16/2015,2373,1658,1369,289
Monday,8/17/2015,4031,2763,2290,473
Tuesday,8/18/2015,4027,2780,2248,532
Wednesday,8/19/2015,3912,2795,2291,504
Thursday,8/20/2015,3867,2715,2191,524
Friday,8/21/2015,3304,2238,1806,432
Saturday,8/22/2015,1685,1208,1011,197
Sunday,8/23/2015,2130,1542,1282,260
Monday,8/24/2015,3936,2697,2182,515
Tuesday,8/25/2015,4029,2744,2203,541
Wednesday,8/26/2015,4010,2789,2237,552
Thursday,8/27/2015,4027,2890,2392,498
Friday,8/28/2015,2829,2000,1585,415
Saturday,8/29/2015,1736,1227,1023,204
Sunday,8/30/2015,2517,1686,1416,270
Monday,8/31/2015,4029,2769,2299,470
Tuesday,9/1/2015,4261,2890,2358,532
Wednesday,9/2/2015,4058,2923,2442,481
Thursday,9/3/2015,4392,3007,2466,541
Friday,9/4/2015,3072,2221,1846,375
Saturday,9/5/2015,1799,1284,1068,216
Sunday,9/6/2015,2341,1611,1345,266
Monday,9/7/2015,3330,2354,1963,391
Tuesday,9/8/2015,4734,3381,2833,548
Wednesday,9/9/2015,4801,3381,2845,536
Thursday,9/10/2015,4399,3079,2575,504
Friday,9/11/2015,3275,2375,1958,417
Saturday,9/12/2015,2042,1429,1223,206
Sunday,9/13/2015,2827,2103,1844,259
Monday,9/14/2015,4836,3437,2954,483
Tuesday,9/15/2015,4840,3465,2944,521
Wednesday,9/16/2015,4504,3356,2902,454
Thursday,9/17/2015,4379,3240,2736,504
Friday,9/18/2015,3391,2428,2024,404
Saturday,9/19/2015,2045,1513,1278,235
Sunday,9/20/2015,2721,2081,1817,264
Monday,9/21/2015,4630,3535,2998,537
Tuesday,9/22/2015,4748,3540,3004,536
Wednesday,9/23/2015,4702,3377,2893,484
Thursday,9/24/2015,4440,3309,2827,482
Friday,9/25/2015,3513,2518,2116,402
Saturday,9/26/2015,2253,1633,1395,238
Sunday,9/27/2015,3141,2291,1980,311
Monday,9/28/2015,5122,3808,3289,519
Tuesday,9/29/2015,5151,3868,3305,563
Wednesday,9/30/2015,4969,3703,3182,521
Thursday,10/1/2015,4619,3365,2876,489
Friday,10/2/2015,3443,2598,2196,402
Saturday,10/3/2015,2302,1754,1503,251
Sunday,10/4/2015,3291,2506,2173,333
Monday,10/5/2015,5206,3737,3170,567
Tuesday,10/6/2015,5474,3940,3337,603
Wednesday,10/7/2015,5400,3934,3350,584
Thursday,10/8/2015,5334,3821,3244,577
Friday,10/9/2015,4174,3022,2547,475
Saturday,10/10/2015,2571,1853,1597,256
Sunday,10/11/2015,3572,2636,2283,353
Monday,10/12/2015,5018,3788,3241,547
Tuesday,10/13/2015,5565,4159,3536,623
Wednesday,10/14/2015,5420,4048,3403,645
Thursday,10/15/2015,5366,3908,3331,577
Friday,10/16/2015,4091,3002,2507,495
Saturday,10/17/2015,2824,2087,1770,317
Sunday,10/18/2015,3843,2825,2441,384
Monday,10/19/2015,5516,4140,3491,649
Tuesday,10/20/2015,5572,4121,3460,661
Wednesday,10/21/2015,5243,3882,3298,584
Thursday,10/22/2015,5133,3720,3104,616
Friday,10/23/2015,4084,2947,2441,506
Saturday,10/24/2015,2739,1978,1647,331
Sunday,10/25/2015,3781,2857,2435,422
Monday,10/26/2015,5684,4073,3417,656
Tuesday,10/27/2015,5687,4179,3534,645
Wednesday,10/28/2015,5906,4266,3614,652
Thursday,10/29/2015,5541,4020,3368,652
Friday,10/30/2015,4171,3043,2501,542
Saturday,10/31/2015,2586,1820,1496,324
Sunday,11/1/2015,3838,2922,2456,466
Monday,11/2/2015,5675,4076,3419,657
Tuesday,11/3/2015,5624,4178,3504,674
Wednesday,11/4/2015,5794,4316,3670,646
Thursday,11/5/2015,5389,4031,3379,652
Friday,11/6/2015,4305,3047,2522,525
Saturday,11/7/2015,3281,2202,1854,348
Sunday,11/8/2015,3790,2837,2418,419
Monday,11/9/2015,5894,4203,3487,716
Tuesday,11/10/2015,5461,4048,3388,660
Wednesday,11/11/2015,5206,3869,3219,650
Thursday,11/12/2015,5228,3929,3281,648
Friday,11/13/2015,4097,2971,2436,535
Saturday,11/14/2015,2694,1964,1616,348
Sunday,11/15/2015,3893,2930,2483,447
Monday,11/16/2015,6185,4550,3872,678
Tuesday,11/17/2015,6178,4503,3795,708
Wednesday,11/18/2015,6067,4397,3693,704
Thursday,11/19/2015,5656,4166,3487,679
Friday,11/20/2015,4398,3173,2645,528
Saturday,11/21/2015,2836,2086,1741,345
Sunday,11/22/2015,3896,2927,2424,503
Monday,11/23/2015,5814,4236,3543,693
Tuesday,11/24/2015,5879,4140,3475,665
Wednesday,11/25/2015,4800,3457,2836,621
Thursday,11/26/2015,3838,2825,2334,491
Friday,11/27/2015,3576,2579,2118,461
Saturday,11/28/2015,2799,1974,1652,322
Sunday,11/29/2015,4228,3127,2605,522
Monday,11/30/2015,6331,4570,3817,753
Tuesday,12/1/2015,6380,4743,4027,716
Wednesday,12/2/2015,6314,4829,4039,790
Thursday,12/3/2015,6160,4584,3835,749
Friday,12/4/2015,4859,3615,2995,620
Saturday,12/5/2015,3317,2468,2040,428
Sunday,12/6/2015,4715,3550,2972,578
Monday,12/7/2015,6940,5136,4303,833
Tuesday,12/8/2015,6551,4866,4068,798
Wednesday,12/9/2015,6327,4761,3961,800
Thursday,12/10/2015,6212,4578,3830,748
Friday,12/11/2015,4687,3388,2771,617
Saturday,12/12/2015,3014,2283,1856,427
Sunday,12/13/2015,4132,3064,2548,516
Monday,12/14/2015,5989,4330,3606,724
Tuesday,12/15/2015,5331,3967,3309,658
Wednesday,12/16/2015,5183,3665,3025,640
Thursday,12/17/2015,4769,3515,2917,598
Friday,12/18/2015,3627,2518,2071,447
Saturday,12/19/2015,1857,1319,1087,232
Sunday,12/20/2015,2221,1489,1204,285
Monday,12/21/2015,3335,2335,1906,429
Tuesday,12/22/2015,2883,2047,1639,408
Wednesday,12/23/2015,2353,1621,1312,309
Thursday,12/24/2015,1578,1099,886,213
Friday,12/25/2015,1017,724,586,138
Saturday,12/26/2015,1334,936,760,176
Sunday,12/27/2015,1690,1155,947,208
Monday,12/28/2015,2838,1829,1474,355
Tuesday,12/29/2015,2815,1786,1419,367
Wednesday,12/30/2015,2382,1618,1292,326
Thursday,12/31/2015,1587,1035,809,226
Friday,1/1/2016,1411,960,786,174
Saturday,1/2/2016,1838,1197,969,228
Sunday,1/3/2016,2180,1562,1279,283
Monday,1/4/2016,3587,2494,2037,457
Tuesday,1/5/2016,3855,2742,2230,512
Wednesday,1/6/2016,3840,2628,2127,501
Thursday,1/7/2016,3735,2746,2258,488
Friday,1/8/2016,3223,2286,1860,426
Saturday,1/9/2016,2207,1531,1280,251
Sunday,1/10/2016,2814,2000,1661,339
Monday,1/11/2016,4007,2976,2444,532
Tuesday,1/12/2016,4119,2961,2385,576
Wednesday,1/13/2016,4338,3164,2631,533
Thursday,1/14/2016,4432,2962,2418,544
Friday,1/15/2016,3306,2349,1866,483
Saturday,1/16/2016,2223,1557,1262,295
Sunday,1/17/2016,2757,2002,1635,367
Monday,1/18/2016,4047,2898,2373,525
Tuesday,1/19/2016,4489,3190,2566,624
Wednesday,1/20/2016,4588,3232,2656,576
Thursday,1/21/2016,4398,3106,2561,545
Friday,1/22/2016,3340,2455,1990,465
Saturday,1/23/2016,2344,1639,1338,301
Sunday,1/24/2016,2973,2094,1736,358
Monday,1/25/2016,4638,3205,2649,556
Tuesday,1/26/2016,4791,3409,2834,575
Wednesday,1/27/2016,5104,3768,3197,571
Thursday,1/28/2016,4621,3439,2876,563
Friday,1/29/2016,3831,2715,2232,483
Saturday,1/30/2016,2295,1690,1400,290
Sunday,1/31/2016,3235,2462,2050,412
Monday,2/1/2016,4918,3640,3060,580
Tuesday,2/2/2016,5127,3783,3195,588
Wednesday,2/3/2016,4794,3575,2999,576
Thursday,2/4/2016,4788,3420,2848,572
Friday,2/5/2016,3948,2727,2256,471
Saturday,2/6/2016,2383,1765,1477,288
Sunday,2/7/2016,2950,2231,1839,392
Monday,2/8/2016,4905,3592,3024,568
Tuesday,2/9/2016,5353,3931,3299,632
Wednesday,2/10/2016,5492,4007,3358,649
Thursday,2/11/2016,5052,3628,3019,609
Friday,2/12/2016,3764,2807,2300,507
Saturday,2/13/2016,2458,1788,1459,329
Sunday,2/14/2016,3098,2277,1866,411
Monday,2/15/2016,4951,3652,3039,613
Tuesday,2/16/2016,5495,4000,3304,696
Wednesday,2/17/2016,5505,4062,3375,687
Thursday,2/18/2016,5188,3812,3156,656
Friday,2/19/2016,4002,2932,2377,555
Saturday,2/20/2016,2607,1888,1537,351
Sunday,2/21/2016,3906,2838,2355,483
Monday,2/22/2016,6360,4432,3684,748
Tuesday,2/23/2016,6046,4460,3714,746
Wednesday,2/24/2016,5938,4309,3499,810
Thursday,2/25/2016,5325,3892,3199,693
Friday,2/26/2016,4165,3048,2490,558
Saturday,2/27/2016,2829,2096,1726,370
Sunday,2/28/2016,4090,2979,2462,517
Monday,2/29/2016,5734,4224,3493,731
Tuesday,3/1/2016,6214,4474,3731,743
Wednesday,3/2/2016,5906,4333,3597,736
Thursday,3/3/2016,5814,4191,3419,772
Friday,3/4/2016,4507,3188,2624,564
Saturday,3/5/2016,2859,2064,1718,346
