Day,Date,Page_Loads,Unique_Visits,First_Time_Visits,Returning_Visits
Sunday,3/6/2016,3897,2806,2326,480
Monday,3/7/2016,5849,4240,3503,737
Tuesday,3/8/2016,6264,4526,3743,783
Wednesday,3/9/2016,6062,4404,3624,780
Thursday,3/10/2016,5685,4159,3415,744
Friday,3/11/2016,4391,3241,2627,614
Saturday,3/12/2016,2880,2046,1638,408
Sunday,3/13/2016,3740,2673,2163,510
Monday,3/14/2016,5710,4261,3469,792
Tuesday,3/15/2016,5168,3778,3047,731
Wednesday,3/16/2016,5577,4062,3287,775
Thursday,3/17/2016,5238,3827,3134,693
Friday,3/18/2016,3931,2871,2320,551
Saturday,3/19/2016,2606,1892,1568,324
Sunday,3/20/2016,3149,2410,2028,382
Monday,3/21/2016,5565,3968,3274,694
Tuesday,3/22/2016,5281,3770,3035,735
Wednesday,3/23/2016,5202,3780,3146,634
Thursday,3/24/2016,4581,3203,2649,554
Friday,3/25/2016,3264,2281,1847,434
Saturday,3/26/2016,2344,1759,1393,366
Sunday,3/27/2016,3112,2311,1890,421
Monday,3/28/2016,5051,3655,2985,670
Tuesday,3/29/2016,5333,3944,3217,727
Wednesday,3/30/2016,5671,4078,3369,709
Thursday,3/31/2016,5097,3707,3026,681
Friday,4/1/2016,4555,2971,2408,563
Saturday,4/2/2016,2987,2129,1737,392
Sunday,4/3/2016,4257,2964,2421,543
Monday,4/4/2016,5804,4216,3426,790
Tuesday,4/5/2016,5885,4379,3597,782
Wednesday,4/6/2016,6054,4293,3522,771
Thursday,4/7/2016,5791,4147,3422,725
Friday,4/8/2016,4741,3430,2820,610
Saturday,4/9/2016,2946,2140,1740,400
Sunday,4/10/2016,4071,2864,2330,534
Monday,4/11/2016,6265,4503,3667,836
Tuesday,4/12/2016,6298,4626,3769,857
Wednesday,4/13/2016,6495,4628,3791,837
Thursday,4/14/2016,5536,4189,3431,758
Friday,4/15/2016,4737,3447,2785,662
Saturday,4/16/2016,3232,2333,1862,471
Sunday,4/17/2016,4201,3093,2504,589
Monday,4/18/2016,6806,4769,3920,849
Tuesday,4/19/2016,6769,4817,3940,877
Wednesday,4/20/2016,6581,4824,3926,898
Thursday,4/21/2016,6254,4537,3707,830
Friday,4/22/2016,5163,3685,3009,676
Saturday,4/23/2016,3851,2595,2113,482
Sunday,4/24/2016,4695,3386,2761,625
Monday,4/25/2016,7098,5224,4237,987
Tuesday,4/26/2016,7156,5392,4468,924
Wednesday,4/27/2016,6836,5056,4130,926
Thursday,4/28/2016,6329,4724,3892,832
Friday,4/29/2016,4990,3608,2922,686
Saturday,4/30/2016,3536,2489,1993,496
Sunday,5/1/2016,4366,3236,2605,631
Monday,5/2/2016,6510,4786,3909,877
Tuesday,5/3/2016,6855,4962,4085,877
Wednesday,5/4/2016,6599,4651,3744,907
Thursday,5/5/2016,5510,4105,3375,730
Friday,5/6/2016,4549,3245,2639,606
Saturday,5/7/2016,3064,2167,1760,407
Sunday,5/8/2016,3633,2663,2180,483
Monday,5/9/2016,5838,4283,3489,794
Tuesday,5/10/2016,6026,4336,3581,755
Wednesday,5/11/2016,5780,4226,3479,747
Thursday,5/12/2016,5131,3781,3101,680
Friday,5/13/2016,3928,2845,2294,551
Saturday,5/14/2016,2636,1930,1552,378
Sunday,5/15/2016,3278,2366,1922,444
Monday,5/16/2016,4785,3560,2882,678
Tuesday,5/17/2016,4886,3601,2914,687
Wednesday,5/18/2016,5145,3672,2987,685
Thursday,5/19/2016,5849,4211,3484,727
Friday,5/20/2016,4456,3324,2725,599
Saturday,5/21/2016,2960,2138,1716,422
Sunday,5/22/2016,3885,2860,2338,522
Monday,5/23/2016,5857,4155,3368,787
Tuesday,5/24/2016,6162,4345,3526,819
Wednesday,5/25/2016,6014,4254,3398,856
Thursday,5/26/2016,5652,4119,3385,734
Friday,5/27/2016,4793,3340,2692,648
Saturday,5/28/2016,2819,1995,1611,384
Sunday,5/29/2016,3687,2546,2067,479
Monday,5/30/2016,4851,3399,2701,698
Tuesday,5/31/2016,5775,4216,3413,803
Wednesday,6/1/2016,5443,3962,3193,769
Thursday,6/2/2016,5590,3959,3176,783
Friday,6/3/2016,4482,3164,2489,675
Saturday,6/4/2016,2792,1947,1533,414
Sunday,6/5/2016,3371,2449,1979,470
Monday,6/6/2016,5547,3832,3036,796
Tuesday,6/7/2016,5468,3954,3226,728
Wednesday,6/8/2016,5104,3751,3064,687
Thursday,6/9/2016,4728,3485,2812,673
Friday,6/10/2016,4024,2855,2290,565
Saturday,6/11/2016,2350,1677,1348,329
Sunday,6/12/2016,3234,2196,1779,417
Monday,6/13/2016,4948,3550,2790,760
Tuesday,6/14/2016,5247,3760,3052,708
Wednesday,6/15/2016,5003,3557,2810,747
Thursday,6/16/2016,4816,3482,2775,707
Friday,6/17/2016,4208,2818,2267,551
Saturday,6/18/2016,2454,1668,1357,311
Sunday,6/19/2016,2763,1919,1506,413
Monday,6/20/2016,4954,3522,2829,693
Tuesday,6/21/2016,4903,3470,2793,677
Wednesday,6/22/2016,4907,3464,2772,692
Thursday,6/23/2016,4625,3336,2669,667
Friday,6/24/2016,3497,2482,1947,535
Saturday,6/25/2016,1826,1358,1101,257
Sunday,6/26/2016,2307,1721,1356,365
Monday,6/27/2016,4368,3078,2433,645
Tuesday,6/28/2016,4233,3091,2466,625
Wednesday,6/29/2016,4187,2948,2377,571
Thursday,6/30/2016,3811,2726,2135,591
Friday,7/1/2016,3179,2226,1730,496
Saturday,7/2/2016,1615,1039,814,225
Sunday,7/3/2016,1788,1307,1028,279
Monday,7/4/2016,2959,2144,1653,491
Tuesday,7/5/2016,3947,2840,2235,605
Wednesday,7/6/2016,3841,2821,2248,573
Thursday,7/7/2016,3729,2700,2148,552
Friday,7/8/2016,3324,2381,1891,490
Saturday,7/9/2016,1795,1305,1036,269
Sunday,7/10/2016,2373,1655,1321,334
Monday,7/11/2016,4101,2855,2208,647
Tuesday,7/12/2016,4241,2960,2352,608
Wednesday,7/13/2016,4478,3189,2578,611
Thursday,7/14/2016,3961,2814,2214,600
Friday,7/15/2016,3367,2325,1796,529
Saturday,7/16/2016,1828,1222,951,271
Sunday,7/17/2016,2344,1636,1319,317
Monday,7/18/2016,4415,3007,2382,625
Tuesday,7/19/2016,4403,3151,2502,649
Wednesday,7/20/2016,4244,3082,2450,632
Thursday,7/21/2016,4322,3077,2404,673
Friday,7/22/2016,3456,2431,1936,495
Saturday,7/23/2016,2068,1407,1099,308
Sunday,7/24/2016,2568,1755,1374,381
Monday,7/25/2016,4770,3320,2628,692
Tuesday,7/26/2016,4621,3277,2595,682
Wednesday,7/27/2016,4470,3164,2513,651
Thursday,7/28/2016,4307,3077,2459,618
Friday,7/29/2016,3370,2366,1818,548
Saturday,7/30/2016,1960,1341,1017,324
Sunday,7/31/2016,2412,1765,1423,342
Monday,8/1/2016,4504,3095,2489,606
Tuesday,8/2/2016,4382,3138,2499,639
Wednesday,8/3/2016,4710,3369,2697,672
Thursday,8/4/2016,4324,3106,2479,627
Friday,8/5/2016,3472,2497,1980,517
Saturday,8/6/2016,1909,1339,1081,258
Sunday,8/7/2016,2365,1688,1334,354
Monday,8/8/2016,4460,3056,2438,618
Tuesday,8/9/2016,4479,3135,2482,653
Wednesday,8/10/2016,4510,3207,2550,657
Thursday,8/11/2016,4340,3111,2491,620
Friday,8/12/2016,3508,2436,1933,503
Saturday,8/13/2016,2030,1420,1122,298
Sunday,8/14/2016,2586,1749,1399,350
Monday,8/15/2016,4476,2970,2346,624
Tuesday,8/16/2016,3232,2299,1823,476
Wednesday,8/17/2016,4291,3106,2498,608
Thursday,8/18/2016,4247,2926,2327,599
Friday,8/19/2016,3477,2539,2045,494
Saturday,8/20/2016,2169,1470,1169,301
Sunday,8/21/2016,2430,1808,1453,355
Monday,8/22/2016,4358,3082,2439,643
Tuesday,8/23/2016,4465,3249,2550,699
Wednesday,8/24/2016,4550,3210,2615,595
Thursday,8/25/2016,4147,3011,2380,631
Friday,8/26/2016,3634,2532,2000,532
Saturday,8/27/2016,2014,1430,1141,289
Sunday,8/28/2016,2687,1910,1555,355
Monday,8/29/2016,4376,3115,2521,594
Tuesday,8/30/2016,4318,3226,2622,604
Wednesday,8/31/2016,4441,3219,2620,599
Thursday,9/1/2016,4234,3116,2556,560
Friday,9/2/2016,3027,2230,1762,468
Saturday,9/3/2016,1966,1376,1101,275
Sunday,9/4/2016,2446,1761,1452,309
Monday,9/5/2016,3779,2643,2145,498
Tuesday,9/6/2016,4619,3341,2727,614
Wednesday,9/7/2016,4983,3584,2925,659
Thursday,9/8/2016,4645,3319,2716,603
Friday,9/9/2016,3612,2630,2139,491
Saturday,9/10/2016,2153,1577,1323,254
Sunday,9/11/2016,3089,2307,1978,329
Monday,9/12/2016,4580,3446,2882,564
Tuesday,9/13/2016,4788,3625,2992,633
Wednesday,9/14/2016,5095,3759,3113,646
Thursday,9/15/2016,4668,3454,2860,594
Friday,9/16/2016,3711,2785,2272,513
Saturday,9/17/2016,2523,1861,1577,284
Sunday,9/18/2016,3364,2547,2122,425
Monday,9/19/2016,5513,4050,3321,729
Tuesday,9/20/2016,5362,3762,3095,667
Wednesday,9/21/2016,5402,3987,3293,694
Thursday,9/22/2016,5398,3996,3299,697
Friday,9/23/2016,3783,2663,2134,529
Saturday,9/24/2016,2395,1797,1503,294
Sunday,9/25/2016,3679,2719,2289,430
Monday,9/26/2016,5688,4325,3570,755
Tuesday,9/27/2016,5842,4382,3645,737
Wednesday,9/28/2016,5923,4458,3682,776
Thursday,9/29/2016,5717,4222,3487,735
Friday,9/30/2016,4250,3176,2565,611
Saturday,10/1/2016,2525,1986,1656,330
Sunday,10/2/2016,3923,3023,2559,464
Monday,10/3/2016,5785,4281,3545,736
Tuesday,10/4/2016,6052,4522,3780,742
Wednesday,10/5/2016,6150,4588,3814,774
Thursday,10/6/2016,5591,4134,3419,715
Friday,10/7/2016,4279,3196,2616,580
Saturday,10/8/2016,2897,2066,1717,349
Sunday,10/9/2016,3904,2873,2374,499
Monday,10/10/2016,5458,4145,3442,703
Tuesday,10/11/2016,5909,4399,3685,714
Wednesday,10/12/2016,6175,4620,3823,797
Thursday,10/13/2016,5856,4422,3581,841
Friday,10/14/2016,4610,3505,2837,668
Saturday,10/15/2016,3081,2269,1864,405
Sunday,10/16/2016,4390,3265,2718,547
Monday,10/17/2016,6507,4917,4018,899
Tuesday,10/18/2016,6941,5103,4189,914
Wednesday,10/19/2016,6576,4776,3961,815
Thursday,10/20/2016,5985,4462,3701,761
Friday,10/21/2016,4789,3497,2840,657
Saturday,10/22/2016,3263,2292,1881,411
Sunday,10/23/2016,4180,3135,2561,574
Monday,10/24/2016,6371,4865,3993,872
Tuesday,10/25/2016,6648,4960,4070,890
Wednesday,10/26/2016,6501,4777,3880,897
Thursday,10/27/2016,6088,4431,3574,857
Friday,10/28/2016,4376,3179,2510,669
Saturday,10/29/2016,2733,1955,1549,406
Sunday,10/30/2016,3953,2921,2344,577
Monday,10/31/2016,6108,4416,3563,853
Tuesday,11/1/2016,5668,4185,3360,825
Wednesday,11/2/2016,6159,4508,3663,845
Thursday,11/3/2016,5810,4241,3426,815
Friday,11/4/2016,4491,3394,2670,724
Saturday,11/5/2016,3110,2263,1842,421
Sunday,11/6/2016,4418,3281,2713,568
Monday,11/7/2016,6529,4488,3573,915
Tuesday,11/8/2016,5756,4251,3437,814
Wednesday,11/9/2016,5716,4102,3315,787
Thursday,11/10/2016,5323,4022,3246,776
Friday,11/11/2016,4280,3085,2441,644
Saturday,11/12/2016,2982,2169,1777,392
Sunday,11/13/2016,4365,3172,2595,577
Monday,11/14/2016,6627,4888,3942,946
Tuesday,11/15/2016,6467,4808,3905,903
Wednesday,11/16/2016,6631,4903,3984,919
Thursday,11/17/2016,6378,4681,3779,902
Friday,11/18/2016,4767,3424,2734,690
Saturday,11/19/2016,3501,2580,2136,444
Sunday,11/20/2016,4647,3426,2777,649
Monday,11/21/2016,6336,4693,3788,905
Tuesday,11/22/2016,6222,4564,3646,918
Wednesday,11/23/2016,5527,3904,3082,822
Thursday,11/24/2016,4267,3197,2561,636
Friday,11/25/2016,3733,2678,2135,543
Saturday,11/26/2016,3299,2394,1907,487
Sunday,11/27/2016,4530,3396,2722,674
Monday,11/28/2016,6908,5047,4167,880
Tuesday,11/29/2016,7714,5338,4369,969
Wednesday,11/30/2016,7490,5425,4389,1036
Thursday,12/1/2016,7190,5081,4120,961
Friday,12/2/2016,5391,3977,3171,806
Saturday,12/3/2016,3575,2667,2178,489
Sunday,12/4/2016,5285,4031,3247,784
Monday,12/5/2016,7330,5439,4452,987
Tuesday,12/6/2016,7489,5479,4500,979
Wednesday,12/7/2016,7345,5467,4469,998
Thursday,12/8/2016,6679,4991,3998,993
Friday,12/9/2016,5403,3970,3190,780
Saturday,12/10/2016,3573,2712,2203,509
Sunday,12/11/2016,4834,3515,2838,677
Monday,12/12/2016,6905,4945,3988,957
Tuesday,12/13/2016,6743,4927,3942,985
Wednesday,12/14/2016,6201,4488,3593,895
Thursday,12/15/2016,5571,4071,3229,842
Friday,12/16/2016,3872,2780,2191,589
Saturday,12/17/2016,2613,1884,1480,404
Sunday,12/18/2016,3109,2293,1853,440
Monday,12/19/2016,4324,3145,2477,668
Tuesday,12/20/2016,4226,3064,2339,725
Wednesday,12/21/2016,3991,2914,2278,636
Thursday,12/22/2016,3160,2211,1728,483
Friday,12/23/2016,2386,1626,1257,369
Saturday,12/24/2016,1115,825,634,191
Sunday,12/25/2016,1387,930,740,190
Monday,12/26/2016,2147,1418,1142,276
Tuesday,12/27/2016,2686,1777,1349,428
Wednesday,12/28/2016,2885,1915,1476,439
Thursday,12/29/2016,2694,1837,1400,437
Friday,12/30/2016,2273,1541,1164,377
Saturday,12/31/2016,1188,836,643,193
Sunday,1/1/2017,1447,1039,832,207
Monday,1/2/2017,2568,1844,1448,396
Tuesday,1/3/2017,3566,2527,1970,557
Wednesday,1/4/2017,3941,2816,2226,590
Thursday,1/5/2017,3841,2625,2058,567
Friday,1/6/2017,3261,2338,1812,526
Saturday,1/7/2017,2241,1523,1204,319
Sunday,1/8/2017,2679,1892,1519,373
Monday,1/9/2017,4182,2841,2191,650
Tuesday,1/10/2017,4236,3039,2391,648
Wednesday,1/11/2017,4628,3206,2536,670
Thursday,1/12/2017,4205,3025,2403,622
Friday,1/13/2017,3459,2508,2033,475
Saturday,1/14/2017,2448,1744,1390,354
Sunday,1/15/2017,2853,2015,1586,429
Monday,1/16/2017,4638,3178,2543,635
Tuesday,1/17/2017,5325,3669,2942,727
Wednesday,1/18/2017,4866,3364,2670,694
Thursday,1/19/2017,4715,3375,2689,686
Friday,1/20/2017,3753,2713,2136,577
Saturday,1/21/2017,2481,1778,1437,341
Sunday,1/22/2017,3233,2401,1981,420
Monday,1/23/2017,5034,3660,2957,703
Tuesday,1/24/2017,4787,3593,2909,684
Wednesday,1/25/2017,4901,3602,2923,679
Thursday,1/26/2017,4398,3266,2653,613
Friday,1/27/2017,3823,2832,2267,565
Saturday,1/28/2017,2619,1901,1534,367
Sunday,1/29/2017,3518,2612,2205,407
Monday,1/30/2017,5178,3826,3127,699
Tuesday,1/31/2017,5290,3876,3127,749
Wednesday,2/1/2017,5469,4116,3402,714
Thursday,2/2/2017,5399,4028,3303,725
Friday,2/3/2017,4232,3012,2342,670
Saturday,2/4/2017,2828,2084,1697,387
Sunday,2/5/2017,3724,2783,2281,502
Monday,2/6/2017,5733,4249,3448,801
Tuesday,2/7/2017,5814,4284,3521,763
Wednesday,2/8/2017,5349,4006,3248,758
Thursday,2/9/2017,5025,3681,3010,671
Friday,2/10/2017,4044,2922,2335,587
Saturday,2/11/2017,2323,1731,1377,354
Sunday,2/12/2017,3147,2469,2005,464
Monday,2/13/2017,4972,3719,3014,705
Tuesday,2/14/2017,4878,3582,2897,685
Wednesday,2/15/2017,5288,3786,3039,747
Thursday,2/16/2017,4968,3668,2934,734
Friday,2/17/2017,3788,2748,2158,590
Saturday,2/18/2017,2514,1839,1496,343
Sunday,2/19/2017,3463,2602,2083,519
Monday,2/20/2017,4931,3700,3009,691
Tuesday,2/21/2017,5101,3873,3079,794
Wednesday,2/22/2017,5144,3727,2998,729
Thursday,2/23/2017,4433,3372,2657,715
Friday,2/24/2017,3597,2648,2111,537
Saturday,2/25/2017,2621,1826,1482,344
Sunday,2/26/2017,3397,2494,2021,473
Monday,2/27/2017,5062,3812,3009,803
Tuesday,2/28/2017,4926,3678,2933,745
Wednesday,3/1/2017,4936,3558,2822,736
Thursday,3/2/2017,4688,3441,2747,694
Friday,3/3/2017,3827,2699,2140,559
Saturday,3/4/2017,2452,1754,1408,346
Sunday,3/5/2017,3283,2394,1958,436
Monday,3/6/2017,4823,3481,2764,717
Tuesday,3/7/2017,4821,3662,2942,720
Wednesday,3/8/2017,5059,3613,2923,690
Thursday,3/9/2017,4585,3444,2744,700
Friday,3/10/2017,3682,2733,2178,555
Saturday,3/11/2017,2350,1714,1351,363
Sunday,3/12/2017,3056,2189,1755,434
Monday,3/13/2017,4746,3367,2721,646
Tuesday,3/14/2017,4613,3465,2808,657
Wednesday,3/15/2017,4560,3441,2694,747
Thursday,3/16/2017,4520,3304,2629,675
Friday,3/17/2017,3346,2433,1930,503
Saturday,3/18/2017,2253,1649,1325,324
Sunday,3/19/2017,2927,2267,1807,460
Monday,3/20/2017,4878,3463,2799,664
Tuesday,3/21/2017,4852,3481,2802,679
Wednesday,3/22/2017,4585,3430,2757,673
Thursday,3/23/2017,4477,3260,2600,660
Friday,3/24/2017,3654,2566,1993,573
Saturday,3/25/2017,2411,1760,1420,340
Sunday,3/26/2017,3054,2336,1882,454
Monday,3/27/2017,4696,3479,2765,714
Tuesday,3/28/2017,5033,3633,2875,758
Wednesday,3/29/2017,4948,3530,2809,721
Thursday,3/30/2017,4636,3390,2704,686
Friday,3/31/2017,3539,2636,2060,576
Saturday,4/1/2017,2371,1678,1338,340
Sunday,4/2/2017,2816,2159,1715,444
Monday,4/3/2017,4493,3356,2672,684
Tuesday,4/4/2017,4678,3486,2739,747
Wednesday,4/5/2017,4737,3484,2762,722
Thursday,4/6/2017,4775,3514,2806,708
Friday,4/7/2017,3658,2725,2181,544
Saturday,4/8/2017,2260,1664,1324,340
Sunday,4/9/2017,3343,2433,1933,500
Monday,4/10/2017,4640,3440,2756,684
Tuesday,4/11/2017,4694,3532,2867,665
Wednesday,4/12/2017,4771,3517,2800,717
Thursday,4/13/2017,4173,3017,2395,622
Friday,4/14/2017,3046,2238,1752,486
Saturday,4/15/2017,2260,1701,1333,368
Sunday,4/16/2017,2876,2143,1700,443
Monday,4/17/2017,4774,3402,2719,683
Tuesday,4/18/2017,5009,3702,2906,796
Wednesday,4/19/2017,5369,3852,3133,719
Thursday,4/20/2017,5020,3669,2969,700
Friday,4/21/2017,3935,2802,2203,599
Saturday,4/22/2017,2795,2049,1630,419
Sunday,4/23/2017,3795,2827,2305,522
Monday,4/24/2017,5489,4083,3252,831
Tuesday,4/25/2017,5680,4108,3336,772
Wednesday,4/26/2017,5383,3940,3205,735
Thursday,4/27/2017,4890,3695,2985,710
Friday,4/28/2017,3872,2887,2310,577
Saturday,4/29/2017,2790,1987,1602,385
Sunday,4/30/2017,3524,2616,2118,498
Monday,5/1/2017,4903,3551,2875,676
Tuesday,5/2/2017,5160,3802,3079,723
Wednesday,5/3/2017,5194,3766,2995,771
Thursday,5/4/2017,5142,3755,3013,742
Friday,5/5/2017,3836,2925,2323,602
Saturday,5/6/2017,2737,1981,1572,409
Sunday,5/7/2017,3386,2534,2025,509
Monday,5/8/2017,4816,3585,2900,685
Tuesday,5/9/2017,4734,3458,2763,695
Wednesday,5/10/2017,4761,3475,2754,721
Thursday,5/11/2017,4277,3224,2570,654
Friday,5/12/2017,3563,2620,2056,564
Saturday,5/13/2017,2401,1749,1379,370
Sunday,5/14/2017,2877,2126,1674,452
Monday,5/15/2017,4448,3191,2494,697
Tuesday,5/16/2017,4525,3226,2593,633
Wednesday,5/17/2017,4533,3318,2676,642
Thursday,5/18/2017,4431,3307,2686,621
Friday,5/19/2017,3456,2470,1938,532
Saturday,5/20/2017,2162,1651,1332,319
Sunday,5/21/2017,2786,1971,1597,374
Monday,5/22/2017,4172,3041,2403,638
Tuesday,5/23/2017,4255,3077,2457,620
Wednesday,5/24/2017,4154,2996,2400,596
Thursday,5/25/2017,3803,2839,2263,576
Friday,5/26/2017,2950,2183,1720,463
Saturday,5/27/2017,1909,1444,1155,289
Sunday,5/28/2017,2506,1781,1399,382
Monday,5/29/2017,3325,2457,1913,544
Tuesday,5/30/2017,4086,2909,2298,611
Wednesday,5/31/2017,3716,2667,2069,598
Thursday,6/1/2017,3702,2639,2103,536
Friday,6/2/2017,2959,2171,1680,491
Saturday,6/3/2017,2006,1471,1161,310
Sunday,6/4/2017,2479,1795,1419,376
Monday,6/5/2017,3501,2610,2072,538
Tuesday,6/6/2017,3985,2922,2361,561
Wednesday,6/7/2017,3920,2913,2314,599
Thursday,6/8/2017,3868,2796,2209,587
Friday,6/9/2017,2921,2101,1660,441
Saturday,6/10/2017,1655,1244,975,269
Sunday,6/11/2017,2229,1622,1299,323
Monday,6/12/2017,3660,2598,2020,578
Tuesday,6/13/2017,3898,2809,2202,607
Wednesday,6/14/2017,3912,2797,2200,597
Thursday,6/15/2017,3604,2624,2029,595
Friday,6/16/2017,2970,2105,1621,484
Saturday,6/17/2017,1546,1187,957,230
Sunday,6/18/2017,1944,1465,1146,319
Monday,6/19/2017,3608,2493,1959,534
Tuesday,6/20/2017,3514,2472,1905,567
Wednesday,6/21/2017,3344,2475,1915,560
Thursday,6/22/2017,3292,2351,1824,527
Friday,6/23/2017,2469,1850,1445,405
Saturday,6/24/2017,1296,925,702,223
Sunday,6/25/2017,1546,1071,811,260
Monday,6/26/2017,2948,1998,1528,470
Tuesday,6/27/2017,3077,2190,1690,500
Wednesday,6/28/2017,3028,2145,1649,496
Thursday,6/29/2017,2738,1976,1474,502
Friday,6/30/2017,2147,1478,1087,391
Saturday,7/1/2017,1277,903,675,228
Sunday,7/2/2017,1606,1142,879,263
Monday,7/3/2017,2504,1726,1296,430
Tuesday,7/4/2017,2218,1566,1217,349
Wednesday,7/5/2017,3024,2149,1681,468
Thursday,7/6/2017,2951,2047,1555,492
Friday,7/7/2017,2401,1693,1310,383
Saturday,7/8/2017,1242,891,700,191
Sunday,7/9/2017,1511,1172,938,234
Monday,7/10/2017,2934,2062,1619,443
Tuesday,7/11/2017,3003,2140,1663,477
Wednesday,7/12/2017,3073,2192,1710,482
Thursday,7/13/2017,2933,2043,1550,493
Friday,7/14/2017,2468,1710,1287,423
Saturday,7/15/2017,1355,892,689,203
Sunday,7/16/2017,1553,1122,891,231
Monday,7/17/2017,2902,1954,1479,475
Tuesday,7/18/2017,2899,2109,1591,518
Wednesday,7/19/2017,2986,2032,1584,448
Thursday,7/20/2017,2964,2031,1571,460
Friday,7/21/2017,2433,1609,1214,395
Saturday,7/22/2017,1280,923,725,198
Sunday,7/23/2017,1603,1170,909,261
Monday,7/24/2017,3154,2214,1726,488
Tuesday,7/25/2017,3084,2148,1666,482
Wednesday,7/26/2017,2983,1925,1490,435
Thursday,7/27/2017,2849,1908,1440,468
Friday,7/28/2017,2420,1538,1150,388
Saturday,7/29/2017,1300,895,712,183
Sunday,7/30/2017,1526,1112,863,249
Monday,7/31/2017,2872,1978,1481,497
Tuesday,8/1/2017,2914,1957,1463,494
Wednesday,8/2/2017,2843,1994,1536,458
Thursday,8/3/2017,2649,1894,1447,447
Friday,8/4/2017,2042,1478,1150,328
Saturday,8/5/2017,1225,901,681,220
Sunday,8/6/2017,1562,1045,792,253
Monday,8/7/2017,2751,1823,1398,425
Tuesday,8/8/2017,2634,1868,1415,453
Wednesday,8/9/2017,2704,1961,1511,450
Thursday,8/10/2017,2670,1864,1463,401
Friday,8/11/2017,2073,1498,1121,377
Saturday,8/12/2017,1240,888,669,219
Sunday,8/13/2017,1530,1076,811,265
Monday,8/14/2017,2392,1704,1346,358
Tuesday,8/15/2017,2675,1846,1471,375
Wednesday,8/16/2017,2755,1911,1436,475
Thursday,8/17/2017,2608,1824,1421,403
Friday,8/18/2017,2163,1521,1163,358
Saturday,8/19/2017,1304,951,743,208
Sunday,8/20/2017,1969,1419,1156,263
Monday,8/21/2017,2985,2069,1575,494
Tuesday,8/22/2017,3087,2259,1772,487
Wednesday,8/23/2017,3047,2147,1704,443
Thursday,8/24/2017,2961,2026,1600,426
Friday,8/25/2017,2293,1589,1257,332
Saturday,8/26/2017,1261,934,751,183
Sunday,8/27/2017,1676,1211,983,228
Monday,8/28/2017,1786,1287,1005,282
Tuesday,8/29/2017,3252,2310,1845,465
Wednesday,8/30/2017,3082,2179,1741,438
