Day,Date,Page_Loads,Unique_Visits,First_Time_Visits,Returning_Visits
Saturday,2/23/2019,3378,2259,1871,388
Sunday,2/24/2019,4367,3012,2524,488
Monday,2/25/2019,6318,4424,3678,746
Tuesday,2/26/2019,6431,4304,3530,774
Wednesday,2/27/2019,5919,4205,3442,763
Thursday,2/28/2019,5668,3966,3266,700
Friday,3/1/2019,4581,3178,2594,584
Saturday,3/2/2019,3383,2263,1878,385
Sunday,3/3/2019,4311,3005,2476,529
Monday,3/4/2019,6357,4214,3443,771
Tuesday,3/5/2019,6092,4092,3343,749
Wednesday,3/6/2019,5772,4070,3340,730
Thursday,3/7/2019,5861,4064,3330,734
Friday,3/8/2019,4600,3147,2590,557
Saturday,3/9/2019,3390,2218,1849,369
Sunday,3/10/2019,4099,2898,2397,501
Monday,3/11/2019,6240,4320,3599,721
Tuesday,3/12/2019,5871,4127,3375,752
Wednesday,3/13/2019,6381,4506,3726,780
Thursday,3/14/2019,5853,4043,3328,715
Friday,3/15/2019,4425,3116,2499,617
Saturday,3/16/2019,2961,2099,1685,414
Sunday,3/17/2019,4008,2744,2258,486
Monday,3/18/2019,5830,4040,3319,721
Tuesday,3/19/2019,6089,4164,3448,716
Wednesday,3/20/2019,5800,3946,3192,754
Thursday,3/21/2019,5431,3761,3100,661
Friday,3/22/2019,4560,3071,2543,528
Saturday,3/23/2019,3256,2254,1859,395
Sunday,3/24/2019,4156,2858,2386,472
Monday,3/25/2019,6060,4232,3469,763
Tuesday,3/26/2019,6191,4344,3578,766
Wednesday,3/27/2019,6678,4612,3842,770
Thursday,3/28/2019,6167,4086,3361,725
Friday,3/29/2019,4441,3147,2601,546
Saturday,3/30/2019,3243,2325,1949,376
Sunday,3/31/2019,4260,3039,2543,496
Monday,4/1/2019,6078,4238,3550,688
Tuesday,4/2/2019,6824,4656,3833,823
Wednesday,4/3/2019,6621,4727,3942,785
Thursday,4/4/2019,6231,4343,3647,696
Friday,4/5/2019,4776,3346,2719,627
Saturday,4/6/2019,3148,2319,1924,395
Sunday,4/7/2019,4357,3050,2511,539
Monday,4/8/2019,6794,4738,3960,778
Tuesday,4/9/2019,6688,4505,3736,769
Wednesday,4/10/2019,6570,4448,3646,802
Thursday,4/11/2019,6113,4264,3504,760
Friday,4/12/2019,4856,3336,2726,610
Saturday,4/13/2019,3401,2409,2011,398
Sunday,4/14/2019,4551,3197,2600,597
Monday,4/15/2019,6614,4773,3967,806
Tuesday,4/16/2019,7019,4837,4037,800
Wednesday,4/17/2019,6643,4470,3681,789
Thursday,4/18/2019,5398,3825,3133,692
Friday,4/19/2019,4323,2981,2482,499
Saturday,4/20/2019,3546,2442,2020,422
Sunday,4/21/2019,4312,3045,2534,511
Monday,4/22/2019,6363,4520,3729,791
Tuesday,4/23/2019,6797,4968,4147,821
Wednesday,4/24/2019,7144,5002,4136,866
Thursday,4/25/2019,6555,4621,3804,817
Friday,4/26/2019,5400,3780,3089,691
Saturday,4/27/2019,3710,2465,2038,427
Sunday,4/28/2019,4788,3294,2728,566
Monday,4/29/2019,6232,4340,3578,762
Tuesday,4/30/2019,6093,4264,3440,824
Wednesday,5/1/2019,6117,4275,3556,719
Thursday,5/2/2019,6274,4153,3433,720
Friday,5/3/2019,4774,3370,2763,607
Saturday,5/4/2019,3437,2462,1999,463
Sunday,5/5/2019,4330,3009,2457,552
Monday,5/6/2019,5902,4164,3402,762
Tuesday,5/7/2019,6064,4258,3469,789
Wednesday,5/8/2019,5709,4049,3310,739
Thursday,5/9/2019,5596,3944,3275,669
Friday,5/10/2019,4498,3144,2494,650
Saturday,5/11/2019,3258,2119,1702,417
Sunday,5/12/2019,3571,2565,2070,495
Monday,5/13/2019,5677,3908,3136,772
Tuesday,5/14/2019,5534,3669,2977,692
Wednesday,5/15/2019,5391,3667,2989,678
Thursday,5/16/2019,5043,3577,2953,624
Friday,5/17/2019,3993,2795,2254,541
Saturday,5/18/2019,2565,1876,1545,331
Sunday,5/19/2019,3369,2364,1954,410
Monday,5/20/2019,4993,3442,2806,636
Tuesday,5/21/2019,4728,3406,2813,593
Wednesday,5/22/2019,4963,3431,2772,659
Thursday,5/23/2019,4637,3243,2698,545
Friday,5/24/2019,3694,2559,2070,489
Saturday,5/25/2019,2460,1658,1347,311
Sunday,5/26/2019,3006,2064,1693,371
Monday,5/27/2019,3992,2780,2271,509
Tuesday,5/28/2019,4960,3403,2767,636
Wednesday,5/29/2019,4376,3115,2562,553
Thursday,5/30/2019,4143,2896,2353,543
Friday,5/31/2019,3359,2363,1909,454
Saturday,6/1/2019,2218,1474,1221,253
Sunday,6/2/2019,2768,1845,1516,329
Monday,6/3/2019,3967,2831,2295,536
Tuesday,6/4/2019,4501,3008,2426,582
Wednesday,6/5/2019,3973,2727,2233,494
Thursday,6/6/2019,4259,2871,2312,559
Friday,6/7/2019,3181,2313,1869,444
Saturday,6/8/2019,2170,1583,1324,259
Sunday,6/9/2019,2810,1930,1586,344
Monday,6/10/2019,4420,3030,2463,567
Tuesday,6/11/2019,4793,3258,2664,594
Wednesday,6/12/2019,4410,3064,2479,585
Thursday,6/13/2019,4076,2844,2280,564
Friday,6/14/2019,3287,2265,1789,476
Saturday,6/15/2019,2176,1467,1201,266
Sunday,6/16/2019,2516,1747,1419,328
Monday,6/17/2019,4142,2925,2398,527
Tuesday,6/18/2019,4225,3013,2461,552
Wednesday,6/19/2019,4162,2882,2351,531
Thursday,6/20/2019,3716,2615,2137,478
Friday,6/21/2019,3333,2275,1853,422
Saturday,6/22/2019,1918,1360,1118,242
Sunday,6/23/2019,2344,1621,1317,304
Monday,6/24/2019,3691,2591,2149,442
Tuesday,6/25/2019,4035,2770,2247,523
Wednesday,6/26/2019,3939,2675,2186,489
Thursday,6/27/2019,3738,2671,2197,474
Friday,6/28/2019,2846,2021,1657,364
Saturday,6/29/2019,1733,1199,983,216
Sunday,6/30/2019,2184,1494,1240,254
Monday,7/1/2019,3512,2485,2001,484
Tuesday,7/2/2019,3675,2636,2163,473
Wednesday,7/3/2019,3831,2579,2144,435
Thursday,7/4/2019,2801,1971,1648,323
Friday,7/5/2019,2552,1790,1446,344
Saturday,7/6/2019,1950,1291,1110,181
Sunday,7/7/2019,2110,1477,1209,268
Monday,7/8/2019,4303,2903,2383,520
Tuesday,7/9/2019,3883,2799,2335,464
Wednesday,7/10/2019,4244,2907,2347,560
Thursday,7/11/2019,3765,2669,2150,519
Friday,7/12/2019,3286,2276,1816,460
Saturday,7/13/2019,1851,1305,1063,242
Sunday,7/14/2019,2580,1754,1433,321
Monday,7/15/2019,4140,2911,2382,529
Tuesday,7/16/2019,4076,2785,2285,500
Wednesday,7/17/2019,4141,2900,2360,540
Thursday,7/18/2019,3898,2774,2249,525
Friday,7/19/2019,3027,2078,1641,437
Saturday,7/20/2019,1831,1271,1033,238
Sunday,7/21/2019,2282,1617,1356,261
Monday,7/22/2019,4138,2890,2376,514
Tuesday,7/23/2019,4049,2868,2344,524
Wednesday,7/24/2019,4272,2963,2359,604
Thursday,7/25/2019,4089,2755,2210,545
Friday,7/26/2019,3277,2264,1842,422
Saturday,7/27/2019,1954,1308,1069,239
Sunday,7/28/2019,2111,1509,1239,270
Monday,7/29/2019,3625,2539,2053,486
Tuesday,7/30/2019,4415,2906,2386,520
Wednesday,7/31/2019,3854,2743,2260,483
Thursday,8/1/2019,4114,2771,2262,509
Friday,8/2/2019,3492,2280,1874,406
Saturday,8/3/2019,1849,1312,1096,216
Sunday,8/4/2019,2239,1630,1347,283
Monday,8/5/2019,3976,2664,2191,473
Tuesday,8/6/2019,4061,2833,2284,549
Wednesday,8/7/2019,3702,2675,2215,460
Thursday,8/8/2019,3622,2553,2112,441
Friday,8/9/2019,3039,2033,1660,373
Saturday,8/10/2019,1848,1265,1049,216
Sunday,8/11/2019,2082,1502,1242,260
Monday,8/12/2019,3807,2574,2121,453
Tuesday,8/13/2019,3993,2667,2215,452
Wednesday,8/14/2019,3567,2517,2087,430
Thursday,8/15/2019,3484,2450,2046,404
Friday,8/16/2019,2994,2022,1663,359
Saturday,8/17/2019,1793,1276,1074,202
Sunday,8/18/2019,2422,1721,1477,244
Monday,8/19/2019,4070,2847,2371,476
Tuesday,8/20/2019,3987,2800,2293,507
Wednesday,8/21/2019,3355,2407,1963,444
Thursday,8/22/2019,2925,1959,1627,332
Friday,8/23/2019,3010,2143,1769,374
Saturday,8/24/2019,1896,1380,1151,229
Sunday,8/25/2019,2501,1791,1497,294
Monday,8/26/2019,3851,2714,2257,457
Tuesday,8/27/2019,4403,3075,2622,453
Wednesday,8/28/2019,4627,3125,2623,502
Thursday,8/29/2019,4221,2982,2477,505
Friday,8/30/2019,3025,2102,1727,375
Saturday,8/31/2019,1998,1386,1179,207
Sunday,9/1/2019,2297,1645,1414,231
Monday,9/2/2019,3192,2272,1910,362
Tuesday,9/3/2019,4087,2921,2434,487
Wednesday,9/4/2019,4787,3348,2842,506
Thursday,9/5/2019,4483,3078,2570,508
Friday,9/6/2019,3571,2483,2095,388
Saturday,9/7/2019,2263,1566,1343,223
Sunday,9/8/2019,2948,2118,1827,291
Monday,9/9/2019,4521,3287,2785,502
Tuesday,9/10/2019,4563,3251,2758,493
Wednesday,9/11/2019,4598,3365,2901,464
Thursday,9/12/2019,4603,3356,2868,488
Friday,9/13/2019,3349,2508,2121,387
Saturday,9/14/2019,2437,1716,1451,265
Sunday,9/15/2019,3188,2367,2082,285
Monday,9/16/2019,5291,3839,3280,559
Tuesday,9/17/2019,5477,3815,3273,542
Wednesday,9/18/2019,5257,3726,3222,504
Thursday,9/19/2019,5000,3500,3028,472
Friday,9/20/2019,3890,2822,2407,415
Saturday,9/21/2019,2654,1994,1739,255
Sunday,9/22/2019,3656,2640,2328,312
Monday,9/23/2019,5223,3804,3291,513
Tuesday,9/24/2019,5276,3826,3287,539
Wednesday,9/25/2019,5476,3838,3306,532
Thursday,9/26/2019,5196,3718,3208,510
Friday,9/27/2019,4052,2863,2448,415
Saturday,9/28/2019,2635,1945,1696,249
Sunday,9/29/2019,4076,2895,2541,354
Monday,9/30/2019,5167,3754,3216,538
Tuesday,10/1/2019,4972,3634,3082,552
Wednesday,10/2/2019,5143,3683,3209,474
Thursday,10/3/2019,4753,3454,2941,513
Friday,10/4/2019,3795,2854,2440,414
Saturday,10/5/2019,2920,2118,1827,291
Sunday,10/6/2019,3950,2850,2471,379
Monday,10/7/2019,5493,3929,3432,497
Tuesday,10/8/2019,5652,4186,3705,481
Wednesday,10/9/2019,5617,3936,3388,548
Thursday,10/10/2019,5234,3802,3261,541
Friday,10/11/2019,4118,3147,2674,473
Saturday,10/12/2019,2863,2111,1803,308
Sunday,10/13/2019,4032,3013,2645,368
Monday,10/14/2019,5476,4022,3466,556
Tuesday,10/15/2019,5542,4117,3572,545
Wednesday,10/16/2019,5340,3966,3403,563
Thursday,10/17/2019,5388,3905,3333,572
Friday,10/18/2019,4309,3097,2675,422
Saturday,10/19/2019,3117,2223,1897,326
Sunday,10/20/2019,4234,3081,2679,402
Monday,10/21/2019,5698,4144,3507,637
Tuesday,10/22/2019,5721,4132,3536,596
Wednesday,10/23/2019,6018,4446,3823,623
Thursday,10/24/2019,5563,3995,3397,598
Friday,10/25/2019,4159,2961,2461,500
Saturday,10/26/2019,2732,2057,1753,304
Sunday,10/27/2019,3901,2854,2460,394
Monday,10/28/2019,5749,4120,3529,591
Tuesday,10/29/2019,5821,4140,3576,564
Wednesday,10/30/2019,5647,4059,3452,607
Thursday,10/31/2019,5219,3689,3180,509
Friday,11/1/2019,4054,3010,2604,406
Saturday,11/2/2019,2815,2170,1889,281
Sunday,11/3/2019,4253,3063,2603,460
Monday,11/4/2019,5816,4184,3640,544
Tuesday,11/5/2019,5843,4176,3549,627
Wednesday,11/6/2019,6058,4351,3672,679
Thursday,11/7/2019,6291,4489,3810,679
Friday,11/8/2019,4604,3357,2839,518
Saturday,11/9/2019,3354,2337,2000,337
Sunday,11/10/2019,4190,3075,2634,441
Monday,11/11/2019,5931,4194,3573,621
Tuesday,11/12/2019,6443,4589,3877,712
Wednesday,11/13/2019,5805,4275,3572,703
Thursday,11/14/2019,5753,4172,3569,603
Friday,11/15/2019,4709,3452,2927,525
Saturday,11/16/2019,3418,2506,2136,370
Sunday,11/17/2019,4821,3387,2872,515
Monday,11/18/2019,6444,4699,3985,714
Tuesday,11/19/2019,6607,4772,4119,653
Wednesday,11/20/2019,6726,4781,4115,666
Thursday,11/21/2019,6334,4462,3840,622
Friday,11/22/2019,4575,3214,2724,490
Saturday,11/23/2019,3414,2474,2118,356
Sunday,11/24/2019,4535,3242,2787,455
Monday,11/25/2019,5970,4467,3836,631
Tuesday,11/26/2019,5630,4115,3522,593
Wednesday,11/27/2019,5384,3823,3225,598
Thursday,11/28/2019,4201,3223,2747,476
Friday,11/29/2019,3799,2947,2504,443
Saturday,11/30/2019,3301,2443,2053,390
Sunday,12/1/2019,4420,3308,2849,459
Monday,12/2/2019,6384,4674,4031,643
Tuesday,12/3/2019,6964,4975,4285,690
Wednesday,12/4/2019,6957,4959,4252,707
Thursday,12/5/2019,6350,4671,3989,682
Friday,12/6/2019,5324,3796,3258,538
Saturday,12/7/2019,3795,2760,2362,398
Sunday,12/8/2019,5013,3636,3159,477
Monday,12/9/2019,7005,5250,4569,681
Tuesday,12/10/2019,6606,4791,4131,660
Wednesday,12/11/2019,6686,4902,4240,662
Thursday,12/12/2019,6163,4533,3871,662
Friday,12/13/2019,4581,3272,2801,471
Saturday,12/14/2019,2930,2240,1958,282
Sunday,12/15/2019,3585,2672,2280,392
Monday,12/16/2019,4925,3653,3128,525
Tuesday,12/17/2019,4743,3441,2895,546
Wednesday,12/18/2019,4716,3390,2918,472
Thursday,12/19/2019,3793,2821,2381,440
Friday,12/20/2019,2688,1906,1583,323
Saturday,12/21/2019,1682,1177,1020,157
Sunday,12/22/2019,1880,1411,1190,221
Monday,12/23/2019,2451,1738,1442,296
Tuesday,12/24/2019,1644,1197,977,220
Wednesday,12/25/2019,1483,1027,851,176
Thursday,12/26/2019,1864,1355,1102,253
Friday,12/27/2019,1927,1319,1109,210
Saturday,12/28/2019,1679,1219,1019,200
Sunday,12/29/2019,1962,1299,1111,188
Monday,12/30/2019,2469,1762,1479,283
Tuesday,12/31/2019,1750,1192,1005,187
Wednesday,1/1/2020,1554,1105,870,235
Thursday,1/2/2020,2820,2083,1754,329
Friday,1/3/2020,2970,2180,1859,321
Saturday,1/4/2020,2111,1526,1300,226
Sunday,1/5/2020,2393,1788,1514,274
Monday,1/6/2020,3704,2770,2341,429
Tuesday,1/7/2020,3760,2915,2492,423
Wednesday,1/8/2020,3698,2844,2402,442
Thursday,1/9/2020,4243,3374,2910,464
Friday,1/10/2020,3177,2415,2043,372
Saturday,1/11/2020,2361,1834,1581,253
Sunday,1/12/2020,2762,2238,1961,277
Monday,1/13/2020,4298,3242,2727,515
Tuesday,1/14/2020,3838,2884,2450,434
Wednesday,1/15/2020,3754,2864,2470,394
Thursday,1/16/2020,3817,2951,2510,441
Friday,1/17/2020,3175,2419,2006,413
Saturday,1/18/2020,2336,1927,1681,246
Sunday,1/19/2020,2597,2031,1717,314
Monday,1/20/2020,3715,2948,2505,443
Tuesday,1/21/2020,4459,3501,3017,484
Wednesday,1/22/2020,4483,3552,3079,473
Thursday,1/23/2020,4225,3295,2805,490
Friday,1/24/2020,3111,2484,2131,353
Saturday,1/25/2020,2353,1784,1535,249
Sunday,1/26/2020,3198,2520,2213,307
Monday,1/27/2020,4432,3539,3058,481
Tuesday,1/28/2020,4664,3654,3148,506
Wednesday,1/29/2020,4471,3544,3025,519
Thursday,1/30/2020,4486,3499,3031,468
Friday,1/31/2020,3527,2704,2304,400
Saturday,2/1/2020,2514,1995,1728,267
Sunday,2/2/2020,2993,2409,2106,303
Monday,2/3/2020,4728,3694,3174,520
Tuesday,2/4/2020,4883,3982,3472,510
Wednesday,2/5/2020,5071,4061,3528,533
Thursday,2/6/2020,4638,3715,3217,498
Friday,2/7/2020,3757,2942,2512,430
Saturday,2/8/2020,2761,2193,1890,303
Sunday,2/9/2020,3423,2849,2498,351
Monday,2/10/2020,5066,4016,3464,552
Tuesday,2/11/2020,4928,4045,3499,546
Wednesday,2/12/2020,4996,4019,3497,522
Thursday,2/13/2020,5004,3823,3188,635
Friday,2/14/2020,3675,2949,2529,420
Saturday,2/15/2020,2556,2024,1757,267
Sunday,2/16/2020,3732,2808,2361,447
Monday,2/17/2020,4958,3951,3382,569
Tuesday,2/18/2020,4869,3806,3273,533
Wednesday,2/19/2020,5224,4042,3495,547
Thursday,2/20/2020,4890,3748,3212,536
Friday,2/21/2020,3678,2914,2528,386
Saturday,2/22/2020,2456,2025,1759,266
Sunday,2/23/2020,3444,2708,2387,321
Monday,2/24/2020,5000,3974,3390,584
Tuesday,2/25/2020,5496,4210,3601,609
Wednesday,2/26/2020,5059,4014,3468,546
Thursday,2/27/2020,4813,3759,3247,512
Friday,2/28/2020,3810,3052,2569,483
Saturday,2/29/2020,2682,2169,1858,311
Sunday,3/1/2020,3332,2754,2379,375
Monday,3/2/2020,4872,3801,3264,537
Tuesday,3/3/2020,5097,3956,3452,504
Wednesday,3/4/2020,4714,3591,3118,473
Thursday,3/5/2020,5048,3994,3428,566
Friday,3/6/2020,3698,2843,2386,457
Saturday,3/7/2020,2670,2095,1798,297
Sunday,3/8/2020,3416,2743,2362,381
Monday,3/9/2020,4731,3830,3269,561
Tuesday,3/10/2020,4820,3718,3169,549
Wednesday,3/11/2020,4813,3711,3182,529
Thursday,3/12/2020,4393,3508,2952,556
Friday,3/13/2020,3316,2613,2172,441
Saturday,3/14/2020,2416,1888,1569,319
Sunday,3/15/2020,2934,2251,1937,314
Monday,3/16/2020,2732,2157,1809,348
Tuesday,3/17/2020,3805,3007,2525,482
Wednesday,3/18/2020,3748,2976,2508,468
Thursday,3/19/2020,3678,2883,2471,412
Friday,3/20/2020,3322,2647,2239,408
Saturday,3/21/2020,2701,2049,1749,300
Sunday,3/22/2020,3263,2469,2120,349
Monday,3/23/2020,4105,3166,2690,476
Tuesday,3/24/2020,4156,3247,2766,481
Wednesday,3/25/2020,4153,3367,2878,489
Thursday,3/26/2020,4256,3394,2944,450
Friday,3/27/2020,3818,3002,2588,414
Saturday,3/28/2020,3045,2438,2103,335
Sunday,3/29/2020,4079,3047,2603,444
Monday,3/30/2020,4899,3852,3280,572
Tuesday,3/31/2020,4943,3822,3310,512
Wednesday,4/1/2020,4907,3799,3317,482
Thursday,4/2/2020,4933,3838,3305,533
Friday,4/3/2020,4665,3498,2975,523
Saturday,4/4/2020,3366,2536,2175,361
Sunday,4/5/2020,3976,3045,2644,401
Monday,4/6/2020,4981,3921,3351,570
Tuesday,4/7/2020,5331,4144,3552,592
Wednesday,4/8/2020,5331,4203,3656,547
Thursday,4/9/2020,5063,3982,3426,556
Friday,4/10/2020,4252,3354,2869,485
Saturday,4/11/2020,3656,2712,2279,433
Sunday,4/12/2020,4152,3125,2666,459
Monday,4/13/2020,5089,3922,3379,543
Tuesday,4/14/2020,5491,4314,3721,593
Wednesday,4/15/2020,5665,4424,3754,670
Thursday,4/16/2020,5423,4203,3592,611
Friday,4/17/2020,4688,3682,3146,536
Saturday,4/18/2020,4055,3007,2521,486
Sunday,4/19/2020,4830,3671,3057,614
Monday,4/20/2020,5908,4517,3869,648
Tuesday,4/21/2020,5633,4377,3722,655
Wednesday,4/22/2020,5786,4520,3856,664
Thursday,4/23/2020,5967,4758,4074,684
Friday,4/24/2020,4937,3879,3319,560
Saturday,4/25/2020,4327,3284,2814,470
Sunday,4/26/2020,5086,3964,3393,571
Monday,4/27/2020,6038,4771,4054,717
Tuesday,4/28/2020,6324,4920,4210,710
Wednesday,4/29/2020,6062,4735,4006,729
Thursday,4/30/2020,5520,4375,3776,599
Friday,5/1/2020,4670,3621,3068,553
Saturday,5/2/2020,4171,3145,2683,462
Sunday,5/3/2020,4716,3648,3067,581
Monday,5/4/2020,5939,4567,3882,685
Tuesday,5/5/2020,6361,4900,4169,731
Wednesday,5/6/2020,6659,5322,4580,742
Thursday,5/7/2020,6264,4857,4067,790
Friday,5/8/2020,5359,4202,3592,610
Saturday,5/9/2020,4593,3452,2932,520
Sunday,5/10/2020,5092,3917,3338,579
Monday,5/11/2020,6563,5112,4278,834
Tuesday,5/12/2020,6124,4775,4028,747
Wednesday,5/13/2020,5817,4596,3886,710
Thursday,5/14/2020,6057,4583,3937,646
Friday,5/15/2020,4958,3829,3183,646
Saturday,5/16/2020,3651,2827,2384,443
Sunday,5/17/2020,4248,3291,2737,554
Monday,5/18/2020,5624,4231,3588,643
Tuesday,5/19/2020,5595,4300,3666,634
Wednesday,5/20/2020,5213,4106,3466,640
Thursday,5/21/2020,5156,3990,3372,618
Friday,5/22/2020,4350,3343,2816,527
Saturday,5/23/2020,3446,2696,2291,405
Sunday,5/24/2020,3945,2969,2479,490
Monday,5/25/2020,4639,3610,3054,556
Tuesday,5/26/2020,5224,4069,3416,653
Wednesday,5/27/2020,5242,4105,3474,631
Thursday,5/28/2020,4939,3966,3371,595
Friday,5/29/2020,4387,3486,2949,537
Saturday,5/30/2020,3327,2583,2189,394
Sunday,5/31/2020,3692,2919,2482,437
Monday,6/1/2020,4734,3707,3133,574
Tuesday,6/2/2020,4727,3690,3057,633
Wednesday,6/3/2020,4994,3869,3239,630
Thursday,6/4/2020,4767,3733,3156,577
Friday,6/5/2020,4124,3247,2778,469
Saturday,6/6/2020,3230,2425,2045,380
Sunday,6/7/2020,3906,3049,2574,475
Monday,6/8/2020,4895,3787,3188,599
Tuesday,6/9/2020,4871,3644,3050,594
Wednesday,6/10/2020,4989,3857,3269,588
Thursday,6/11/2020,4633,3560,3015,545
Friday,6/12/2020,4475,3292,2757,535
Saturday,6/13/2020,2967,2304,1942,362
Sunday,6/14/2020,3507,2684,2282,402
Monday,6/15/2020,4337,3348,2794,554
Tuesday,6/16/2020,4470,3461,2964,497
Wednesday,6/17/2020,4439,3450,2898,552
Thursday,6/18/2020,4895,3677,3132,545
Friday,6/19/2020,3924,2911,2459,452
Saturday,6/20/2020,2827,2190,1851,339
Sunday,6/21/2020,3481,2668,2256,412
Monday,6/22/2020,4627,3493,2935,558
Tuesday,6/23/2020,4561,3493,2950,543
Wednesday,6/24/2020,4626,3521,2982,539
Thursday,6/25/2020,4137,3215,2668,547
Friday,6/26/2020,3555,2675,2248,427
Saturday,6/27/2020,2671,1999,1680,319
Sunday,6/28/2020,3486,2635,2233,402
Monday,6/29/2020,4000,3119,2616,503
Tuesday,6/30/2020,3828,3013,2553,460
Wednesday,7/1/2020,3935,3049,2599,450
Thursday,7/2/2020,3633,2881,2397,484
Friday,7/3/2020,2997,2286,1932,354
Saturday,7/4/2020,2194,1704,1420,284
Sunday,7/5/2020,2948,2198,1836,362
Monday,7/6/2020,4049,3215,2724,491
Tuesday,7/7/2020,3792,2998,2485,513
Wednesday,7/8/2020,4029,3096,2613,483
Thursday,7/9/2020,3945,3039,2587,452
Friday,7/10/2020,3523,2620,2173,447
Saturday,7/11/2020,2646,1981,1665,316
Sunday,7/12/2020,3454,2611,2213,398
Monday,7/13/2020,3703,2916,2459,457
Tuesday,7/14/2020,3680,2853,2397,456
Wednesday,7/15/2020,3479,2627,2196,431
Thursday,7/16/2020,3756,2916,2463,453
Friday,7/17/2020,3289,2557,2122,435
Saturday,7/18/2020,2416,1892,1606,286
Sunday,7/19/2020,2793,2197,1892,305
Monday,7/20/2020,3749,2881,2428,453
Tuesday,7/21/2020,3786,2889,2450,439
Wednesday,7/22/2020,4002,3039,2566,473
Thursday,7/23/2020,3823,3033,2525,508
Friday,7/24/2020,3430,2623,2262,361
Saturday,7/25/2020,2400,1767,1487,280
Sunday,7/26/2020,2835,2207,1869,338
Monday,7/27/2020,4001,3031,2523,508
Tuesday,7/28/2020,3795,2969,2525,444
Wednesday,7/29/2020,3903,3010,2591,419
Thursday,7/30/2020,3397,2687,2265,422
Friday,7/31/2020,3005,2317,1887,430
Saturday,8/1/2020,2305,1750,1479,271
Sunday,8/2/2020,2696,1993,1701,292
Monday,8/3/2020,3866,2814,2368,446
Tuesday,8/4/2020,3826,2845,2400,445
Wednesday,8/5/2020,3673,2774,2334,440
Thursday,8/6/2020,3660,2625,2189,436
Friday,8/7/2020,3136,2364,1941,423
Saturday,8/8/2020,2223,1628,1354,274
Sunday,8/9/2020,2623,1941,1644,297
Monday,8/10/2020,3638,2745,2325,420
Tuesday,8/11/2020,3740,2742,2258,484
Wednesday,8/12/2020,3767,2904,2477,427
Thursday,8/13/2020,3621,2780,2322,458
Friday,8/14/2020,2971,2308,1922,386
Saturday,8/15/2020,2221,1696,1373,323
Sunday,8/16/2020,2724,2037,1686,351
Monday,8/17/2020,3456,2638,2181,457
Tuesday,8/18/2020,3581,2683,2184,499
Wednesday,8/19/2020,2064,1564,1297,267
